chunk_text,filename,source_url,document_type,opmp_number,revision,procedure_title,imp_number
"Original with signatures on file Table of Content PURPOSE AND SCOPE This procedure describes the requirements , processes , and responsibilities to the Operations Program Office ( OPO ) organization to convey the intent of MMP 220 RTX Lifecycle Program Management ( RLPM ) Process into new program requirements ( new centerline and new program derivatives ) . This procedure provides the MMP 220 requirements and the industrialization deliverable associated with the MRL target required to be met for each of the program phases . IMP 07-01-01 is also referencing P & WC forms & manual as listed in figure 2 below . Figure1 – Link between MMP , IMP and P & WC Forms This procedure provides : The Production Readiness ( PR ) deliverables , synchronized to MMP 220 phases ( RLPM Process ) ; The Industrialization organization & responsibilities for the OPO functions involved in industrialization activities : Program Industrialization Manager , Industrialization Project Manager , Partnership Industrialization Account Managers , Partnership Quality , Operation Program Engineer/Analyst , Product Cost Engineer/Analyst , Global Chemical Regulation Specialist , GT Focal , and GT Professional . The maintenance and the next revisions of this procedure are to be jointly directed by the PMO and OPM organizations . ACRONYMS AND DEFINITIONS Acronyms AS Account Specialist ( SM ) AS ( with numbering ) Aerospace Standard BB Bridge Buy BPM Business Process Management ( SM ) CAR Canadian Airworthiness Regulations CDR Critical Design Review CERT Certification DFARS Defense of Defense Federal Acquisition Regulation DOD Department of Defense ECE Engineering Cost Estimate EIP Entry Into Production EIS Enter/Entry Into Service EV Earned Value EVP Engine Validation Plan FAR Federal Acquisition Regulations FETT First Engine To Test FG Finished Goods GCR Global Chemical Regulations GM & T Global Manufacturing & Transitions GT Global Trade IGR Industrialization Gate Review IMP Industrial Management Procedure IPM Industrialization Project Manager IPMP Integrated Product Management Process IPT Integrated Product Team KPI Key Performance Indicator LTB Last/Lifetime Buy MA Manufacturing Approval MA / ME Manufacturing Analyst / Manufacturing Engineer MFP Member Focal Point MMP Management Manual Procedures MRL Manufacturing Readiness Level MTE Manufacturing & Tooling Engineering NPI New Product Introduction NRE Non-Recurring Expenses NSA New Supplier Assessment NSD New Supplier Development NSE New Supplier Evaluation NSI New Supplier Introduction OEM Original Equipment Manufacturer ( Aircraft – customer ) OPE / OPA Operation Program Engineer/Analyst OPM Operations Program Management O-PMT Operations Program Management Team O-PMMT Operations Program Model Management Team OPO Operations Program Office PBI Power Business Intelligence ( Microsoft ) PDR Preliminary Design Review PDRS Product Definition Requirement Specifications PIAM Partnership Industrialization Account Manager PIM Program Industrialization Manager PMMT Program Model Management Team PMO Program Management Office PMT Program Management Team POC Parts of Concern PO / SA Purchase Order / Scheduling Agreement PPAP Production Part Approval Process PQ Partnership Quality PQI Partnership Quality & Industrialization PR Production Readiness PRL Producibility Readiness Level PR-L2 Production Readiness – Level 2 PSSRB Program Strategic Sourcing Review Board QMSP Quality Management System Procedures QNLI Quality Notification Line Item RFP Request For Proposal R &",IMP_07-01-01_New.txt,,General,,,,
"PMT Program Management Team POC Parts of Concern PO / SA Purchase Order / Scheduling Agreement PPAP Production Part Approval Process PQ Partnership Quality PQI Partnership Quality & Industrialization PR Production Readiness PRL Producibility Readiness Level PR-L2 Production Readiness – Level 2 PSSRB Program Strategic Sourcing Review Board QMSP Quality Management System Procedures QNLI Quality Notification Line Item RFP Request For Proposal R & T Research & Technology SDL Supplier Development Lead SFV Strategic Financial Valuation SHA Supplier Health Assessment SM Supply Management SQA MFI Supplier Quality Assurance Material Flow Integrity SQAR Supplier Quality Assurance Representative SMSP Safety Management System Procedure SSRB Strategic Sourcing Review Board STO Support To Operations TRL Technology Readiness Level TSO Technical Standard Order ZNC Zero Non Conformity 4WBA 4-Week Build Ahead Definitions Industrialization Industrialization structured approach is applied from RLPM Gate A to Gate F Industrialization ’ s goal is to meet the operations program milestones and objectives for the development and serial production of a product . It includes operation planning , risk management and execution of the Production Readiness ( PR ) activities . Production Readiness As part of the industrialization the Production Readiness is a process executed to ensure the desired PR Earned Value and Manufacturing Readiness Level ( MRL ) program targets are met to secure a flawless Entry Into Production ( EIP ) . The “ customer ” of the PR process is the MMP 220 RLPM Process . Derivative Incremental limited changes made to an existing product . New Centerline A new product not being a derivative . Producer P & WC Manufacturing , external suppliers , Partners , Engine Center Assembly & test or any entity providing a part of the product for the program . Partners Entity providing goods or services to P & WC under which a NRE and/or Revenue and risk sharing agreement is made between the partner and the P & WC . Product Goods sold by P & WC . Product may be a CAR 533 certified engine , a TSO C-77 ( or E-TSO ) Auxiliary Power Unit . Product may consist of aircraft components , systems and/or SW as part of the contract with the customer . Producibility Producibility is the property of a part definition which allows : a stable , robust , repeatable and reliable manufacturing process that meets target cost ; a predictable process lead-time ; Manufacturing with Zero Recurring Non-Conformance ( ZNC ) ; Conformance with the design intent/requirements ( fit-form-function ) . Ideally , the part definition should not depend on the expertise of a unique producer . REFERENCES AS9145 Advanced Product Quality Planning & PPAP Requirements for the Aerospace & Defense Industry ( IAQG ) CPW153 Management and Classification of Key Product Characteristics CPW40 Packaging and Labelling CSOP P-41 Customer Service Field Readiness ( EIS ) Process DoD MRL MRL Deskbook ( Department of Defense v.2020 ) DRM110 Traceability Practices ( Serialization and Heat Identification ) EOP 089 Engineering Technology Management EOP 103 Design Process and Design Reviews EOP 257 Development Engineering Production Readiness Process FCP-OPSH-EHS-21 Global",IMP_07-01-01_New.txt,,General,,,,
"IAQG ) CPW153 Management and Classification of Key Product Characteristics CPW40 Packaging and Labelling CSOP P-41 Customer Service Field Readiness ( EIS ) Process DoD MRL MRL Deskbook ( Department of Defense v.2020 ) DRM110 Traceability Practices ( Serialization and Heat Identification ) EOP 089 Engineering Technology Management EOP 103 Design Process and Design Reviews EOP 257 Development Engineering Production Readiness Process FCP-OPSH-EHS-21 Global Chemical Substances Management IMP 07-05-06 Partnership – Work on Parts at PWC IMP 08-03-02-Partner Partnership – Control of Nonconforming Product IMP 08-03-04 Partnership – Escape Management IMP 08-03-05 Partnership – PPAP MMP 060 Protection and Control of Intellectual Property MMP 219 Integrated Product Management Process MMP 220 RLPM Review Process MMP 239 Process Certification MMP 345 International Trade Compliance ( GT ) MMP 348 Global Strategic Sourcing MMP 375 International Trade Compliance MMP 501 New Product Introduction Factory Standard Cost Management MMP 519 Factory Standard Cost Procedure MOP030241 Gestion du développement des technologies de fabrication OPMP 3.1 Coordinate Manufacturing Approval OPMP 3.10 Industrialization Pre-Passport 0 to P2 OPMP 3.11 Industrialization P2 up to Entry Into Service OPMP 3.12 Legacy Program Management OPMP 4.11 Production Hardware Management PPP 02-01 Quality Systems PPP 03-01 Contract Requirements Review and Communication PPP 06-11 Dual Sourcing PPP 06-14 Global Strategic Sourcing PPP 06-15 Supplier Targeting and RFx PPP 07-12 Electronic Obsolescence Management Process PPP 09-03 Vendor Supplied Material ( VSM ) Program PPP 11-02 Gauges and Tooling Provided to Suppliers PPP 15-06 Transfer from Experimental to Production PRM 07-01 Production Readiness Manual PWAP 22.21 P & W Global Chemical Substances Program PWC Form 10285 Process Robustness Index ( PRI ) PWC Form 10865e NPI to AS Transfer Checklist PWC Form 11184 Produceability Readiness Level ( PRL ) PWC Form 11737 Request for PMTS Approval PWC Form 11847 NPI Operations Budget PWC Form 11856 Part Transfer from MFP to QS Approval Sheet PWC Form 11908 Dual Sourcing – SPF Decision Matrix PWC Form 12284 Production Readiness Deliverables PWC Form 12532 Program Industrial Review ( PIR ) presentation template PWC Form 12542 ZNC Burndown Action Plan - Template PWC Form 12548 PR Deliverable Exemption QMSP 04-02 Document and Record Control QMSP 04-02-01 Plans qualité ( QP ) et Plans de gestion de la collaboration ( CMP ) QMSP 07-05-02 Production Part Approval Process QPM Pratt & Whitney Canada Quality Program Manual SQOP 01-06 Part Marking and Tracking System ( PMTS ) SQOP 01-08 New Part Quality Planning WIM 292 Electronic Obsolescence Management WIM 693 Producibility Readiness Level ( PRL ) WIM 944 Manufacturing Readiness Level ( MRL ) Assessment WIM 1048 Parts of Concern ( MEPoC ) REQUIREMENTS AND TASKS Governance Structure – Program and Industrial Management IPMP Structure Refer to MMP 219 OPO NPI Program Governance OPO NPI program governance are held to review cross-program systemic issues , cross-pollenate best practices , train and inform industrialization leaders across the OPO organization as well as review critical program status . OPO NPI Program Governance are typically led by the PMO director . Production plan In accordance with MMP220 , it is required to prepare a",IMP_07-01-01_New.txt,,General,,,,
"MMP 219 OPO NPI Program Governance OPO NPI program governance are held to review cross-program systemic issues , cross-pollenate best practices , train and inform industrialization leaders across the OPO organization as well as review critical program status . OPO NPI Program Governance are typically led by the PMO director . Production plan In accordance with MMP220 , it is required to prepare a comprehensive Production Plan for each program and is owned by Operations . The purpose of this plan is to provide a clear and overarching view of how the operations organization will implement Project Management Processes throughout the lifecycle of a program or project . This includes detailing the various phases of the program , all tailored to meet contractual requirements and program archetype . Each section of the production plan should articulate strategic aspects , ensuring that readers can easily understand the rationale behind the plan . Additionally , the production plan must remain up to date beyond Gate D , consistently reflecting the Program ’ s current status and strategic direction throughout the entire lifecycle of the product . A “ looking forward ” production plan can be crated for any Program/Product at any time of its lifecycle to support RLPM . The Production plan of each Program/Project needs to be maintained throughout the lifecycle of the product , regularly updated together with the other Management Plans and aligned with the respective Program plan . The updates to the production plan need to be discussed at the OPMT . Production readiness process Standards & Mandate The Production Readiness is the process used as part of the governance for the industrialization of the new programs . At each MMP 220 RLPM gate , a set of exit criteria is defined to meet the industrialization requirements of the program and , to support the Gate decision . The PR deliverables are defined as part of P & WC form 12284 . Table 1 below is aligning the relations between the Program Milestones , RLPM gates , IGR , MRL , TRL , Development Engineering gates , and APQP phases . Earned value targets listed in table 1 below are reflecting the P & WC form 12284 at the date of this IMP release date . If there is a difference between the PR EV target below and the one in the P & WC 12284 form , the later one prevails . Table 1 – Relations between MRL , IGR , TRL , , and PR Earned Value target The mandate of the PR process is to meet the overall production readiness maturity of the program throughout the life of the program at the different IGR and Gates and its ability to start the production phase ( Entry Into Production ) . For each of the PR deliverables , these functions - Industrialization Project Manger for POC deliverables ; - Partnership Industrialization Account Manager for partner POC deliverables ; - and Program Industrialization Manager for program deliverables ; have the overarching responsibility to drive each one of these three",IMP_07-01-01_New.txt,,General,,,,
"IGR and Gates and its ability to start the production phase ( Entry Into Production ) . For each of the PR deliverables , these functions - Industrialization Project Manger for POC deliverables ; - Partnership Industrialization Account Manager for partner POC deliverables ; - and Program Industrialization Manager for program deliverables ; have the overarching responsibility to drive each one of these three activities : Identify PR deliverable gaps as per P & WC form 12284 at the program and at the POC level ; Define , plan , analyse and execute mitigation action plans with cross-functional teams to address above PR deliverable gaps ; Quantify industrialization risks ( impact and likelihood ) and prioritize/escalate their mitigation accordingly within the different functions . Moreover , the industrialization activities are governed with various KPI levels : Level 1 ( L1 ) KPIs – all new engine programs together - Responsibility PMO Managers Level 2 ( L2 KPIs – at individual program level – Responsibility of the Program Industrialization Manager Level 3 ( L3 ) KPIs – at individual producer or part/POC level – Responsibility of the Industrialization Project Manager / Partnership Industrialization Account manager The two main KPIs are the PR earned value % and the MRL % . These two L2 KPIs are measured from the PR Deliverables P & WC form 12284 and are calculated as per below ’ s calculation . Production Readiness Earned Value % Calculation = PR Earned Value % for Gate X PR earned value is calculated at the POC level ( L3 ) as well as the program level ( L2 ) MRL % Calculation MRL actual for a given POC is driven by the lowest PR deliverable that is not met ( e.g . if the lower PR deliverable not met is a IGR deliverable , therefore the POC meets IGR target ( the gate before ) so the POC is at MRL8 – see table 1 for relations between IGR and MRL targets ) . Then the MRL % is calculated at the program level ( L2 ) as follow : MRL % at IGR gate x = % of POC meeting the MRL target of IGR gate x Additional L2 program-level KPIs are listed in Appendix B , including their applicability for each of the IGR gate as well as calculation method , and source of truth . Due to the varying scope and complexity from one program to another , the L2 KP targets may be program-specific , and such target definition are led by the Program Industrialization Manager , and reviewed with PMT and PMMT . A notional example of the MRL % and EV % progression and projection is shown in Figure 4 below . It shows historical actuals , current value as well as projection until next IGR gate . This graph refers to the MRL S-Curve and PR Earned Value progression curve . Figure 4 – Notional PR Earned Value progression and MRL % S-Curve– PWC Form 12284 MRL Integration within PR MRL assessment has been integrated",IMP_07-01-01_New.txt,,General,,,,
"progression and projection is shown in Figure 4 below . It shows historical actuals , current value as well as projection until next IGR gate . This graph refers to the MRL S-Curve and PR Earned Value progression curve . Figure 4 – Notional PR Earned Value progression and MRL % S-Curve– PWC Form 12284 MRL Integration within PR MRL assessment has been integrated as part of the PR deliverables ( PWC Form 12284 ) . From the same PR deliverable assessment source , both the MRL % as well as PR Earned Value % are calculated . The PR process is supporting , coordinating and centralising the MRL execution across all organizations including : Research & Technologies , Manufacturing Engineering , Program Engineering , Core Engineering , OPO , Supply Management , International Manufacturing , Canadian Manufacturing , Assembly and Test , Partnership office , Quality , and Aftermarket disciplines ( refer to Appendix A to get full list of PR deliverables ) . The MRL methodology is applied on all selected POCs , for all new engine programs at PWC ( from small to large derivative and new centerline ) . The PR Deliverable Assessment tool ( PWC Form 12284 ) is at the base of the standard work used to assess the progress of all PR deliverables ( including the mitigation action plan and associated risks ) against the PR deliverables to be achieved for each of the IGR gates . The PR deliverable file content can be seen within the industrialization Power BI where we can create views by POC , producers and/or programs . This assessment tool is populated by the Industrialization Project Manager and Program Industrialization Manager based on various inputs collected with the PR reviews , the IPT meetings and with the feedback of the various business collaborators , i.e . Project Engineers , Research and Technology team , Operations Program Engineers , NPI Buyers , Quality Engineers , etc . The PR Deliverable Exemption form # 12548 could be used to get one or many PR deliverable exempted for one or several POC . The Accountable team , as defined in P & WC form 12284 RACI has the authority to approve this exemption and the approved exemptions must be stored at this location : PR Deliverable Exemption Archive Folder Industrialization Scope of New Programs and Parts Of Concern ( POC ) Identification Before IGR A is completed ( Permission to offer ) , the potential introduction of a new program triggers the determination of the initial industrialization scope . This scope is led by the Program Industrialization Manager with the support of a cross-functional team . By default , the initial POC selection at IGR A will be all the unique to the program parts as well as the common parts ( legacy ) having recurrent producibility issues . The initial POC selection should be provided by the Program Industrialization Manager to OPM and program engineering to ensure that these parts can be included as part of the scope of the program and",IMP_07-01-01_New.txt,,General,,,,
"the initial POC selection at IGR A will be all the unique to the program parts as well as the common parts ( legacy ) having recurrent producibility issues . The initial POC selection should be provided by the Program Industrialization Manager to OPM and program engineering to ensure that these parts can be included as part of the scope of the program and budgeted accordingly as part of the Operations Start-Up Budget and Engineering Cost Estimate ( ECE ) budget at Gate A . Then between IGR A and IGR B , and after the P & WC contract award is confirmed by the customer ( “ The Program Go '' ) , a revised POC Selection needs to be defined . The scope of this selection is determined by a set of POC criteria ( Ref . WIM 693 and WIM 1048 ) and is reviewed between the Program Industrialization Manager , Manufacturing Engineering as well as Operations Program Management . Thereby , the scope will converge to a reduced list of POCs . This list of POCs becomes the industrialization scope and it will be used for performing the PR deliverable assessment at the program and producer level using form 12284 . Finally , throughout the rest of the NPI cycle and until Gate F is completed , the Dynamic POC process ( Ref . Figure 5 ) will review the industrialization scope ( list of POCs ) of all programs at a minimum on a quarterly basis . This review will be governed by the production readiness organization and by getting input from various organization ( Supply Management , OPM , Engineering , Aftermarket ) . This dynamic POC approach starts with the industrialization risk analysis of all PN contained in all NPI programs ensures that no major risk is generated by a part not initially categorized as a POC , e.g . recurring quality history , new supplier introduction . Throughout the dynamic POC process , POC will be added and some would be removed based on their industrialization risk level ( PN with more risk are kept as POC ) . The list of identified POCs by program , including the Industrialization Project Manager assignments , is maintained in the PR Deliverable assessment tool . This list is maintained by the Program Industrialization Manager and the Industrialization Project Manager . POC can also be added or removed whenever required . In addition , upon the review and update of the POC list , the PR Manager reviews the capacity planning of the PR organization to ensure the capacity level of the organization can support the PR activities for all the selected POCs , and all NPI programs . Figure 5 – POC Selection Process Production Readiness Reviews Producer PR Review The POC PR Deliverable assessment is done internally by the Industrialization Project Manager/ Partnership Industrialization Account Manager ( IPM/PIAM ) which are responsible to collect all pertinent data to get an accurate industrialization assessment of its maturity at any given industrialization phase . Once the initial",IMP_07-01-01_New.txt,,General,,,,
", and all NPI programs . Figure 5 – POC Selection Process Production Readiness Reviews Producer PR Review The POC PR Deliverable assessment is done internally by the Industrialization Project Manager/ Partnership Industrialization Account Manager ( IPM/PIAM ) which are responsible to collect all pertinent data to get an accurate industrialization assessment of its maturity at any given industrialization phase . Once the initial PR deliverable assessment is done , the PR review cycle will start with the support of the various business attendees . The Producer PR reviews allow the IPM/PIAM to understand the applicable PR scope for this specific POC , to get an accurate understanding of the POC maturity and to define the required actions to fulfill the gaps . The applicable PR scope can be all PR deliverables , or a condensed set of deliverables based on a risk-based approach , or a set of deliverables jointly defined by the Program Industrialization Manager and OPM . During the PR reviews , the actions and risks are recorded by the IPM/PIAM in form 12284 ( PR Deliverable ) . The IPM/PIAM is responsible to coordinate the PR reviews at a reasonable frequency with the adequate business attendees . The NPI buyer or the Account Specialist are required at these reviews unless otherwise specified differently by them . Refer to table 2 below for frequency of the review , proposed attendees and review expected deliverables . PR-L2 In preparation of the IGR or in case an escalation is needed , the Industrialization Project Manager/Partnership Industrialization Account Manager may plan the PR-L2 ( Production Readiness Level 2 ) review . This meeting is required only for POC considered at high risk of not meeting the Gate exit criteria and for program partners . Director and/or Executive leaders of relevant organizations will participate in this review where industrialization gaps and their detailed mitigation plans will be reviewed . Refer to table 2 below for frequency of the review , proposed attendees and review expected deliverables . Program Level Event When a program needs a specific event ( which is recommended to be a face-to-face meeting/workshop ) , the Program Industrialization Manager will plan a Program Level Event . This event can be of various nature , e.g . 3P , Business Process Mapping , Value Stream Mapping , D4C , D4A , Industrialization white paper strategy meeting , etc . The Program Industrialization Manager is responsible to communicate the results of this event and to coordinate and track the actions for closure . Refer to table 2 below for frequency of the review , proposed attendees and review expected deliverables . Industrialization Gate Review ( IGR ) IGR are used to provide the industrialization program status in preparation of a gate ( Gate A to Gate F ) and to measure the program progress in between the gates . Gate A and Gate C , i.e . IGR B , and in between the gates Gate C and Gate C2 , i.e . IGR C1 ( refer to figure 3 for additional",IMP_07-01-01_New.txt,,General,,,,
"are used to provide the industrialization program status in preparation of a gate ( Gate A to Gate F ) and to measure the program progress in between the gates . Gate A and Gate C , i.e . IGR B , and in between the gates Gate C and Gate C2 , i.e . IGR C1 ( refer to figure 3 for additional details ) . These reviews are meant to detail the status of the Exit criteria and PR deliverables for the program , identify industrialization risks , as well as their related mitigation action plans . The summary of the IGR results is communicated at the gates . The Program Industrialization Manager is responsible to trigger the preparation and the coordination of the IGR reviews according to the program timeline . Refer to table 2 below for frequency of the review , proposed attendees and review expected deliverables . Each IGR review shall contain at a minimum the following elements and a IGR template is documented as part of P & WC form 12532 IGR Agenda Previous IGR open action review Program Background Program commercial summary Incremental volumes Engine Concept IGR summary Industrialization L1 plan Exit Criteria assessment ( go/conditional go/no go ) Industrialization or Program Risk Cube Program KPI Action plan for Exit criteria gaps For each exit criteria that is not at GO , a detailed mitigation action plan , including action owners and expected completion date will be presented . If mitigation does not meet program requirement an escalation will be identified Recommendation and next steps In table 2 below are the proposed frequency , proposed attendees as well as the expected deliverables out of the various PR process reviews . Table 2 – Production Readiness Review Formats Standard for PR Deliverable & Exit Criteria Reporting The PR Deliverable Assessment tool uses a binary approach ( met/not met ) for each applicable PR deliverable . Each of the PR deliverable is contained within one of the 10 PR Exit Criteria : 1 . Planning Phase 2 . Configuration 3 . Product Cost 4 . Sourcing 5 . OTD Assurance Plan 6 . Quality 7 . Producibility 8 . Assembly & Test 9 . Global Chemical Regulations 10 . Global Trade At IGR and Gate reviews , each one of the exit criteria are to be presented with one of the three following decisions ( Go/No-Go/Conditional ) . The recommendations are following this standard as per table 3 below : Table 3 – Standard for Exit Criteria and Dashboard Reporting For each of the Exit criteria that are not at a Go status , a gap mitigation plan with action owners and commitment dates will have to be presented . Each of the 10 Exit Criteria are divided into specific PR deliverables as per P & WC form 12284 . The maturity of the deliverables is assessed with the PR earned value and MRL % formulas as per section 4.2.1 . The PR deliverable are of two types : - POC type – applicable at the POC",IMP_07-01-01_New.txt,,General,,,,
"dates will have to be presented . Each of the 10 Exit Criteria are divided into specific PR deliverables as per P & WC form 12284 . The maturity of the deliverables is assessed with the PR earned value and MRL % formulas as per section 4.2.1 . The PR deliverable are of two types : - POC type – applicable at the POC level - Program type – Applicable at the program level ( not specific to a POC or vendor ) For each POC/Program deliverables , the Industrialization Project Manager/Program Industrialization Manager/Partnership Industrialization Account Manager are responsible to identify the applicable deliverables based on customer/program and quality requirements , risk assessment and feedback/inputs coming from the various business program collaborators , i.e . GT Focal , GCR Specialist , NPI Buyer , Research and Technology Engineer , Project Engineer , MA/ME , OPE , Quality Specialist , SQAR , etc . For more details on RACI for each one of the deliverable refers to section 5.1.1 below . For additional details on the PR Deliverables , Exit criteria and elements , refer to Industrial Management Intranet site : PRM 07-01 Industrialization Gate reviews , exit criteria and key process indicators ( KPI ) IGR A Objectives The goal of this phase is to capture customer inputs , benchmark data , lessons learned , regulatory requirements , technical specifications , company know-how , and strategies into a product concept and realization plan . The OPM organization and the Program Industrialization Manager are actively participating to the definition of a white paper ( project plan ) integrating all the strategies and operational activities of the program . In addition , the OPM organization and the Program Industrialization Manager provide operation requirements as inputs to the PDRS . This phase ends with a satisfactory RLPM gate review ( Gate A ) and IGR A . Based upon the results of the IGR A , the vice-president of Operations and/or Industrial Management may need to request a trigger gate when a significant risk is compromising the objectives of the program . Refer to table 4 below for IGR A description and objectives . IGR Requirements IGR A requirements include the following : Preliminary Program L1 plan containing : Product design concept Preliminary Production plan containing : Industrialization strategy Producibility risk identification Operations Budget & staffing Preliminary sourcing strategy Establish requirement for partners participation A Factory Standard Cost ( FSC ) study ( refer to MMP 501 ) summarized in preliminary Production Plan New Technology planning A global Trade review conducted and baseline Export/Import ( EXIM ) Plan , if required IGR B Objectives The goal of this phase is to capture customer inputs , benchmark data , lessons learned , regulatory requirements , technical specifications , company know-how , and strategies into a product concept and realization plan . The OPM organization and the Program Industrialization Manager are actively participating to the definition of a white paper ( project plan ) integrating all the strategies and operational activities of the program . In addition",IMP_07-01-01_New.txt,,General,,,,
